kota_administrasi,kecamatan,bulan,penderita_dbd,meninggal
Jakarta Pusat,Cempaka Putih,1,10,0
Jakarta Pusat,Cempaka Putih,2,0,0
Jakarta Pusat,Gambir,3,5,0
Jakarta Pusat,Gambir,4,4,1
Jakarta Pusat,Johar Baru,5,15,0
Jakarta Pusat,Johar Baru,6,4,1
Jakarta Pusat,Kemayoran,7,13,0
Jakarta Pusat,Kemayoran,8,7,0
Jakarta Pusat,Menteng,9,6,1
Jakarta Pusat,Menteng,10,8,0
Jakarta Pusat,Sawah Besar,11,18,0
Jakarta Pusat,Sawah Besar,12,4,1
Jakarta Pusat,Senen,1,9,0
Jakarta Pusat,Senen,2,0,0
Jakarta Pusat,Tanah Abang,3,10,0
Jakarta Pusat,Tanah Abang,4,4,1
Jakarta Utara,Cilincing,5,31,0
Jakarta Utara,Cilincing,6,15,0
Jakarta Utara,Kelapa Gading,7,27,1
Jakarta Utara,Kelapa Gading,8,15,0
Jakarta Utara,Koja,9,44,0
Jakarta Utara,Koja,10,7,0
Jakarta Utara,Pademangan,11,10,1
Jakarta Utara,Pademangan,12,4,0
Jakarta Utara,Penjaringan,1,32,0
Jakarta Utara,Penjaringan,2,2,0
Jakarta Utara,Tanjung Priok,3,26,0
Jakarta Utara,Tanjung Priok,4,6,0
Jakarta Barat,Cengkareng,5,57,1
Jakarta Barat,Cengkareng,6,34,0
Jakarta Barat,Grogol Petamburan,7,32,0
Jakarta Barat,Grogol Petamburan,8,20,0
Jakarta Barat,Kalideres,9,28,1
Jakarta Barat,Kalideres,10,14,0
Jakarta Barat,Kebon Jeruk,11,13,0
Jakarta Barat,Kebon Jeruk,12,5,0
Jakarta Barat,Kembangan,1,16,0
Jakarta Barat,Kembangan,2,4,1
Jakarta Barat,Palmerah,3,21,0
Jakarta Barat,Palmerah,4,8,0
Jakarta Barat,Taman Sari,5,12,0
Jakarta Barat,Taman Sari,6,4,1
Jakarta Barat,Tambora,7,6,0
Jakarta Barat,Tambora,8,5,0
Jakarta Selatan,Cilandak,9,23,0
Jakarta Selatan,Cilandak,10,20,1
Jakarta Selatan,Jagakarsa,11,41,0
Jakarta Selatan,Jagakarsa,12,12,0
Jakarta Selatan,Kebayoran Baru,1,28,1
Jakarta Selatan,Kebayoran Baru,2,4,0
Jakarta Selatan,Kebayoran Lama,3,35,0
Jakarta Selatan,Kebayoran Lama,4,29,1
Jakarta Selatan,Mampang Prapatan,5,17,0
Jakarta Selatan,Mampang Prapatan,6,8,0
Jakarta Selatan,Pancoran,7,19,1
Jakarta Selatan,Pancoran,8,5,0
Jakarta Selatan,Pasar Minggu,9,52,0
Jakarta Selatan,Pasar Minggu,10,21,1
Jakarta Selatan,Pesanggrahan,11,15,0
Jakarta Selatan,Pesanggrahan,12,11,0
Jakarta Selatan,Setia Budi,1,24,0
Jakarta Selatan,Setia Budi,2,8,0
Jakarta Selatan,Tebet,3,36,1
Jakarta Selatan,Tebet,4,12,0
Jakarta Timur,Cakung,5,22,0
Jakarta Timur,Cakung,6,12,0
Jakarta Timur,Cipayung,7,14,0
Jakarta Timur,Cipayung,8,21,0
Jakarta Timur,Ciracas,9,30,0
Jakarta Timur,Ciracas,10,20,0
Jakarta Timur,Duren Sawit,11,45,0
Jakarta Timur,Duren Sawit,12,41,1
Jakarta Timur,Jatinegara,1,23,0
Jakarta Timur,Jatinegara,2,20,0
Jakarta Timur,Kramat Jati,3,29,0
Jakarta Timur,Kramat Jati,4,20,0
Jakarta Timur,Makasar,5,12,1
Jakarta Timur,Makasar,6,9,0
Jakarta Timur,Matraman,7,16,0
Jakarta Timur,Matraman,8,9,1
Jakarta Timur,Pasar Rebo,9,16,0
Jakarta Timur,Pasar Rebo,10,16,0
Jakarta Timur,Pulo Gadung,11,42,0
Jakarta Timur,Pulo Gadung,12,14,1
Kabupaten Kepulauan Seribu,Kep. Seribu Selatan,1,0,0
Kabupaten Kepulauan Seribu,Kep. Seribu Selatan,2,0,0
Kabupaten Kepulauan Seribu,Kep. Seribu Utara,3,0,0
Kabupaten Kepulauan Seribu,Kep. Seribu Utara,4,0,0
